"text","label"
"Pohladil jsem kočku.",1
"Pes zaštěkal na kolemjdoucího.",1
"Zrzavá liška běžela v lese.",1
"Kohout ráno všechny vzbudil.",1
"Slepice snáší vejce.",1
"Jezdili jsme na velbloudovi po poušti.",1
"Kobyla je samice od koně, která měla hříbata.",1
"Včera večer jsme na procházce krmili labutě.",1
"V zoologické zahradě měli lachtana.",1
"Dneska jsem viděl jak soused kácel strom.",0
"Nasadil jsem si brýle.",0
"Nejradši na světě mám můj počítač.",0
"Večeřeli jsme v kuchyni.",0
"Když budu celý život tvrdě pracovat, tak si stejně nebudu moct dovolit vlastní dům.",0
"Kalkulačka je kamarád při matematice.",0
"Atom je základní jednotka hmoty.",0
"Matematika je lepší než zeměpis.",0
