text,label
Za vlády @AndrejBabis se vše šíleně zdražilo. Hlavně letos. Ve výsledku mají důchodci nižší kupní sílu než za pravicových vlád. Ale samozřejmě za to může inflace přivezená ze zahraničí. Ne nemůže. Můžete za to vy a vaše vláda!!!,before
"@TheLilek @Don_Vito007 @michalsnobr @SpoluKoalice Taky bych dopnila, ze Fico vladl 12 let, takze spis Babis je proti nemu cuckar. A Slovaci si zvolili Kisku, cloveka v ty dobe s nulovymi politickymi zkusenostmi. A jeste pred vrazdou Kuciaka, co vedlo k padu Smeru. Jde to, kdyz se chce.",after
"@Telicka @AndrejBabis Nic.
Všiml si ho tam někdo?",after
@RomanKosek1 @AndrejBabiis @AndrejBabis Fake účet nemám pane mohu sem dát klidně i víc fotek. Asi tak chytrý nejste,after
"Tak jsem se konečně dostal k #ČauLidi a co neslyším. @AndrejBabis je tady pro všechny, jejichž zástupci se nedostali do sněmovny - pro voliče komoušů i nácků, pro extremisty zleva  i prava.

Snadněji doznat, že vlastně nemá žádný směr a ideál a jen baží po moci snad ani nejde.",after
"@alenaschillerov @AndrejBabis @OECD Paní Účetní, to je sice krásné, ale měla byste uvést kolik procent z rozpočtu státu tvoří mandatorní výdaje a kolik zůstává na všechny ostatní výdaje státu! V tomto směru jsme na jednom z prvních míst v EU.",after
"@veselovskyma @PREZIDENTmluvci V deliriu mohl těžko něco mluvit a i kdyby, tak to mělo podobnou vahu, jak když Babiš přísahá na život svých dětí  😁",after
"@MatyldaZDebaty @AndrejBabis @P_Fiala @vojtafilip @jhamacek @MajerovaZ @tomio_cz @Vit_Rakusan @RobertSlachta Matyldo, zeptejte se Babiše:

1) Odkud bylo těch 400 milionů než je poslal do té transakce?

2) Zda uvedl těch 400 milionů pan premiér ve svém přiznání orgánům státní správy?",before
"@Vit_Rakusan @AndrejBabis Vyjadřovat se k tvoji osobě už nemá smysl, blb zůstane vždycky jen blbem, proto se blb čte v obou směrech stejně.",after
"@alenaschillerov @AndrejBabis čaulidi, myšlenkové pochody finančně nekompetentní osoby bych nebral směrodatně. Vždyť jste vyházeli stovky milionů na nesmyslných slevách, za Zemanem vyhalucinovaný vodní kanály, za předražený čínský roušky.. tyvle 🤦‍♀️ dát do pořádku váš bordel bude hodně bolet.",after
